model,fpr,tpr
Logistic Regression,0.623458847050983,0.7914285714285715
Logistic Regression,0.623458847050983,0.7942857142857143
Logistic Regression,0.6357880706431189,0.7942857142857143
Logistic Regression,0.6357880706431189,0.7971428571428572
Logistic Regression,0.6411196267910696,0.7971428571428572
Logistic Regression,0.6411196267910696,0.8
Logistic Regression,0.6427857380873042,0.8
Logistic Regression,0.6427857380873042,0.8028571428571428
Logistic Regression,0.6497834055314895,0.8028571428571428
Logistic Regression,0.6497834055314895,0.8057142857142857
Logistic Regression,0.6614461846051316,0.8057142857142857
Logistic Regression,0.6614461846051316,0.8085714285714286
Logistic Regression,0.6627790736421193,0.8085714285714286
Logistic Regression,0.6627790736421193,0.8114285714285714
Logistic Regression,0.676107964011996,0.8114285714285714
Logistic Regression,0.676107964011996,0.8142857142857143
Logistic Regression,0.6794401866044651,0.8142857142857143
Logistic Regression,0.6794401866044651,0.8171428571428572
Logistic Regression,0.6814395201599467,0.8171428571428572
Logistic Regression,0.6814395201599467,0.82
Logistic Regression,0.6904365211596135,0.82
Logistic Regression,0.6904365211596135,0.8228571428571428
Logistic Regression,0.6954348550483173,0.8228571428571428
Logistic Regression,0.6954348550483173,0.8257142857142857
Logistic Regression,0.6984338553815395,0.8257142857142857
Logistic Regression,0.6984338553815395,0.8285714285714286
Logistic Regression,0.7020993002332556,0.8285714285714286
Logistic Regression,0.7020993002332556,0.8314285714285714
Logistic Regression,0.7030989670109964,0.8314285714285714
Logistic Regression,0.7030989670109964,0.8342857142857143
Logistic Regression,0.7090969676774409,0.8342857142857143
Logistic Regression,0.7090969676774409,0.8371428571428572
Logistic Regression,0.7100966344551816,0.8371428571428572
Logistic Regression,0.7100966344551816,0.84
Logistic Regression,0.7167610796401199,0.84
Logistic Regression,0.7167610796401199,0.8428571428571429
Logistic Regression,0.7197600799733422,0.8428571428571429
Logistic Regression,0.7197600799733422,0.8457142857142858
Logistic Regression,0.7224258580473175,0.8457142857142858
Logistic Regression,0.7224258580473175,0.8485714285714285
Logistic Regression,0.7264245251582806,0.8485714285714285
Logistic Regression,0.7264245251582806,0.8514285714285714
Logistic Regression,0.7304231922692436,0.8514285714285714
Logistic Regression,0.7304231922692436,0.8542857142857143
Logistic Regression,0.7310896367877374,0.8542857142857143
Logistic Regression,0.7310896367877374,0.8571428571428571
Logistic Regression,0.7390869710096635,0.8571428571428571
Logistic Regression,0.7390869710096635,0.86
Logistic Regression,0.7444185271576141,0.86
Logistic Regression,0.7444185271576141,0.8628571428571429
Logistic Regression,0.7500833055648117,0.8628571428571429
Logistic Regression,0.7500833055648117,0.8657142857142858
Logistic Regression,0.7537487504165278,0.8657142857142858
Logistic Regression,0.7537487504165278,0.8685714285714285
Logistic Regression,0.7567477507497501,0.8685714285714285
Logistic Regression,0.7567477507497501,0.8714285714285714
Logistic Regression,0.7580806397867378,0.8714285714285714
Logistic Regression,0.7580806397867378,0.8742857142857143
Logistic Regression,0.7594135288237254,0.8742857142857143
Logistic Regression,0.7594135288237254,0.8771428571428571
Logistic Regression,0.7617460846384538,0.8771428571428571
Logistic Regression,0.7617460846384538,0.88
Logistic Regression,0.769410196601133,0.88
Logistic Regression,0.769410196601133,0.8828571428571429
Logistic Regression,0.7714095301566145,0.8828571428571429
Logistic Regression,0.7714095301566145,0.8857142857142857
Logistic Regression,0.7770743085638121,0.8857142857142857
Logistic Regression,0.7770743085638121,0.8885714285714286
Logistic Regression,0.7780739753415529,0.8885714285714286
Logistic Regression,0.7780739753415529,0.8914285714285715
Logistic Regression,0.7800733088970343,0.8914285714285715
Logistic Regression,0.7800733088970343,0.8942857142857142
Logistic Regression,0.7837387537487505,0.8942857142857142
Logistic Regression,0.7837387537487505,0.8971428571428571
Logistic Regression,0.8167277574141952,0.8971428571428571
Logistic Regression,0.8167277574141952,0.9
Logistic Regression,0.8173942019326891,0.9
Logistic Regression,0.8173942019326891,0.9028571428571428
Logistic Regression,0.8190603132289237,0.9028571428571428
Logistic Regression,0.8190603132289237,0.9057142857142857
Logistic Regression,0.8250583138953682,0.9057142857142857
Logistic Regression,0.8250583138953682,0.9085714285714286
Logistic Regression,0.8270576474508498,0.9085714285714286
Logistic Regression,0.8270576474508498,0.9114285714285715
Logistic Regression,0.8280573142285905,0.9114285714285715
Logistic Regression,0.8280573142285905,0.9142857142857143
Logistic Regression,0.8410529823392202,0.9142857142857143
Logistic Regression,0.8410529823392202,0.92
Logistic Regression,0.8493835388203932,0.92
Logistic Regression,0.8493835388203932,0.9228571428571428
Logistic Regression,0.850049983338887,0.9228571428571428
Logistic Regression,0.850049983338887,0.9257142857142857
Logistic Regression,0.8523825391536155,0.9257142857142857
Logistic Regression,0.8523825391536155,0.9285714285714286
Logistic Regression,0.8593802065978007,0.9285714285714286
Logistic Regression,0.8593802065978007,0.9314285714285714
Logistic Regression,0.862379206931023,0.9314285714285714
Logistic Regression,0.862379206931023,0.9342857142857143
Logistic Regression,0.8633788737087638,0.9342857142857143
Logistic Regression,0.8633788737087638,0.9371428571428572
Logistic Regression,0.866044651782739,0.9371428571428572
Logistic Regression,0.866044651782739,0.9428571428571428
Logistic Regression,0.8680439853382206,0.9428571428571428
Logistic Regression,0.8680439853382206,0.9457142857142857
Logistic Regression,0.8687104298567144,0.9457142857142857
Logistic Regression,0.8687104298567144,0.9485714285714286
Logistic Regression,0.870709763412196,0.9485714285714286
Logistic Regression,0.870709763412196,0.9514285714285714
Logistic Regression,0.8760413195601466,0.9514285714285714
Logistic Regression,0.8760413195601466,0.9542857142857143
Logistic Regression,0.8763745418193936,0.9542857142857143
Logistic Regression,0.8763745418193936,0.9571428571428572
Logistic Regression,0.8817060979673442,0.9571428571428572
Logistic Regression,0.8817060979673442,0.96
Logistic Regression,0.8823725424858381,0.96
Logistic Regression,0.8823725424858381,0.9628571428571429
Logistic Regression,0.8843718760413196,0.9628571428571429
Logistic Regression,0.8843718760413196,0.9657142857142857
Logistic Regression,0.886704431856048,0.9657142857142857
Logistic Regression,0.886704431856048,0.9714285714285714
Logistic Regression,0.8910363212262579,0.9714285714285714
Logistic Regression,0.8910363212262579,0.9742857142857143
Logistic Regression,0.9020326557814062,0.9742857142857143
Logistic Regression,0.9020326557814062,0.9771428571428571
Logistic Regression,0.9046984338553815,0.9771428571428571
Logistic Regression,0.9046984338553815,0.98
Logistic Regression,0.9093635454848384,0.98
Logistic Regression,0.9093635454848384,0.9828571428571429
Logistic Regression,0.9113628790403199,0.9828571428571429
